choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,damage_multiplier,magazine_bonus,shot_interval_multiplier,radius_multiplier,duration_multiplier,duration_bonus,status_tag,status_stacks_bonus,status_duration_bonus_status_id,status_duration_bonus,conditional_damage_multiplier,conditional_target_status_id,conditional_target_status_min_stacks,runtime_target_skill_ids,burst_status_projectile_index,burst_status_stacks_bonus
ariel-i-trait-3,ariel,ariel-i,,PassiveEnhancement,2,특성 3,신성 노출 대상의 신성 저항 -8,RuntimeImplemented,"Passive effect rows now support passive-choice gating, and holy exposure targets can now receive flat Holy resistance reduction of 8.",,,,,,,,,,,,,,,,
ariel-j-trait-1,ariel,ariel-j,ariel-e,PassiveEnhancement,0,특성 1,행동속도 증가량 +7%,RuntimeImplemented,"Ariel-J trait 1 now targets Ariel-E directly, and a gated Ariel-E effect row adds action speed +7% on top of the base Ariel-J follow-up buff.",,,,,,,,,,,,,,,,
ariel-j-trait-2,ariel,ariel-j,ariel-e,PassiveEnhancement,1,특성 2,신성 피해 증가량 +10%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,,,,
ariel-j-trait-3,ariel,ariel-j,ariel-e,PassiveEnhancement,2,특성 3,대천사의 강림 쿨타임 -15%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler CooldownMultiplier.,,,,,,,,,,,,,,,,
rin-f-trait-1,rin,rin-f,,PassiveEnhancement,0,특성 1,모든 아군의 물리 피해 +6%,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-f-trait-2,rin,rin-f,,PassiveEnhancement,1,특성 2,추가타 피해 +15%,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-f-trait-3,rin,rin-f,,PassiveEnhancement,2,특성 3,추가타에 30% 번개 추가 피해 적용,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-g-trait-1,rin,rin-g,,PassiveEnhancement,0,특성 1,하울링 중 모든 아군의 공격력 +8%,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-g-trait-2,rin,rin-g,,PassiveEnhancement,1,특성 2,하울링 중 모든 아군의 치명타 확률 +6%,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-g-trait-3,rin,rin-g,rin-b,PassiveEnhancement,2,특성 3,하울링 발동 시 린의 파쇄권 재장전 시간 25% 감소,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-h-trait-1,rin,rin-h,,PassiveEnhancement,0,특성 1,자동 발동에 필요한 물리 피해 누적 횟수 -2,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-h-trait-2,rin,rin-h,,PassiveEnhancement,1,특성 2,자동 발동 충격파 위력 +20%,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-h-trait-3,rin,rin-h,,PassiveEnhancement,2,특성 3,충격파 자동 발동 시 30% 번개 추가 피해 적용,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-i-trait-1,rin,rin-i,,PassiveEnhancement,0,특성 1,낮은 체력 대상 피해 증가 +8%,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-i-trait-2,rin,rin-i,,PassiveEnhancement,1,특성 2,"종결 일격 처치 시 모든 아군의 치명타 피해 +25%, 4.0초",RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-i-trait-3,rin,rin-i,,PassiveEnhancement,2,특성 3,종결 일격이 처형 기준 대상을 적중하면 붕괴 타격 쿨다운 12% 충전,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-j-trait-1,rin,rin-j,rin-e,PassiveEnhancement,0,특성 1,물리 방어력 감소량 +8%,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-j-trait-2,rin,rin-j,rin-e,PassiveEnhancement,1,특성 2,"붕괴 타격이 3명 이상 적중하면 모든 아군의 공격력 +15%, 3.0초",RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
rin-j-trait-3,rin,rin-j,rin-e,PassiveEnhancement,2,특성 3,방어력이 감소한 적 처치 시 종결 일격 쿨다운 15% 충전,RuntimeImplemented,Implemented through shared Rin F-J passive status/effect/trigger runtime.,,,,,,,,,,,,,,,,
sein-f-trait-1,sein,sein-f,,PassiveEnhancement,0,특성 1,모든 아군의 화염 피해 +6%,RuntimeImplemented,Implemented through Sein-F choice-gated passive Fire damage status effect.,,,,,,,,,,,,,,,,
sein-f-trait-2,sein,sein-f,sein-a,PassiveEnhancement,1,특성 2,열풍 화살 탄창 수 +3,RuntimeImplemented,Shared passive enhancement adds +3 magazine to Sein-A.,,3,,,,,,,,,,,,,,
sein-f-trait-3,sein,sein-f,,PassiveEnhancement,2,특성 3,화염 스킬 보유 아군의 치명타 피해 +20%,RuntimeImplemented,Implemented through Sein-F choice-gated Fire-skill crit damage status effect.,,,,,,,,,,,,,,,,
sein-g-trait-1,sein,sein-g,,PassiveEnhancement,0,특성 1,자동 발동 확률 +3%,RuntimeImplemented,Implemented through a dedicated Sein-G trigger variant with 7% proc chance.,,,,,,,,,,,,,,,,
sein-g-trait-2,sein,sein-g,,PassiveEnhancement,1,특성 2,자동 발동 작열 난사 위력 +20%,RuntimeImplemented,Implemented through a dedicated Sein-G trigger variant that routes Sein-B at 80% damage.,,,,,,,,,,,,,,,,
sein-g-trait-3,sein,sein-g,,PassiveEnhancement,2,특성 3,자동 발동 시 열풍 화살 재장전 시간 10% 감소,RuntimeImplemented,Implemented through an OnSkillCast reload-reduce trigger gated by auto-triggered Sein-B origin from Sein-G.,,,,,,,,,,,,,,,,
sein-h-trait-1,sein,sein-h,sein-c,PassiveEnhancement,0,특성 1,화염 저항 감소 추가 -6,RuntimeImplemented,Implemented through Sein-C OnHit fire-resist-down status effect.,,,,,,,,,,,,,,,,
sein-h-trait-2,sein,sein-h,sein-c,PassiveEnhancement,1,특성 2,화염궤도 폭발 반경 +25%,RuntimeImplemented,Shared passive enhancement increases Sein-C radius by 25%.,,,,1.25,,,,,,,,,,,,
sein-h-trait-3,sein,sein-h,sein-c,PassiveEnhancement,2,특성 3,"화염궤도에 맞은 적에게 모든 아군 화염 피해 +10%, 5초",RuntimeImplemented,Implemented through Sein-C OnHit fire-exposure status effect.,,,,,,,,,,,,,,,,
sein-i-base-shot-interval,sein,sein-i,sein-d,PassiveBase,0,기본 효과,초열 지대 피해 주기 속도 +20%,RuntimeImplemented,Shared passive base modifier reduces Sein-D tick interval by 20% while Sein-I is learned.,,,0.8,,,,,,,,,,,,,
sein-i-trait-1,sein,sein-i,sein-d,PassiveEnhancement,0,특성 1,모든 아군 화염 피해 증가량 +7%,RuntimeImplemented,Implemented through Sein-D OnHit fire-exposure status effect.,,,,,,,,,,,,,,,,
sein-i-trait-2,sein,sein-i,sein-d,PassiveEnhancement,1,특성 2,효과 지속시간 +2초,RuntimeImplemented,Shared passive enhancement increases Sein-D effect duration by 2 seconds.,,,,,,2,,,,,,,,,,
sein-i-trait-3,sein,sein-i,sein-d,PassiveEnhancement,2,특성 3,초열 지대 범위 +25%,RuntimeImplemented,Shared passive enhancement increases Sein-D radius by 25%.,,,,1.25,,,,,,,,,,,,
sein-j-trait-1,sein,sein-j,sein-e,PassiveEnhancement,0,특성 1,모든 아군 화염 피해 증가량 +10%,RuntimeImplemented,Implemented through Sein-E OnHit fire-exposure status effect.,,,,,,,,,,,,,,,,
sein-j-trait-2,sein,sein-j,sein-e,PassiveEnhancement,1,특성 2,처치 시 쿨타임 충전 +10%,RuntimeImplemented,Implemented through additional Sein-E kill cooldown/reload refund trigger rows.,,,,,,,,,,,,,,,,
sein-j-trait-3,sein,sein-j,sein-e,PassiveEnhancement,2,특성 3,종말의 사선 화염 저항 감소 +8,RuntimeImplemented,Implemented through Sein-E OnHit fire-resist-down status effect.,,,,,,,,,,,,,,,,
vega-f-trait-1,vega,vega-f,,PassiveEnhancement,0,특성 1,모든 아군이 이름표식 대상에게 주는 피해 +5%,RuntimeImplemented,Implemented by Vega-F passive enemy debuff row adding +5% damage taken on Name Mark targets.,1.05,,,,,,,,,,,,,,,
vega-f-trait-2,vega,vega-f,,PassiveEnhancement,1,특성 2,이름표식 10스택 이상 대상의 물리 저항 추가 -4,RuntimeImplemented,Implemented by Vega-F passive enemy debuff row adding Physical resistance reduction -4 on Name Mark 10+ targets.,,,,,,,,,,,,,,,,
vega-f-trait-3,vega,vega-f,,PassiveEnhancement,2,특성 3,삼검난무 마지막 탄환 이름표식 부여량 +1스택,RuntimeImplemented,Shared burst-status hook adds +1 Name Mark stack on Vega-A last burst projectile.,,,,,,,,,,,,,,vega-a,0,1
vega-g-trait-1,vega,vega-g,,PassiveEnhancement,0,특성 1,모든 아군이 침묵 대상에게 주는 피해 +6%,RuntimeImplemented,Implemented by Vega-G passive enemy debuff row adding +6% damage taken on Silence targets.,1.06,,,,,,,,,,,,,,,
vega-g-trait-2,vega,vega-g,,PassiveEnhancement,1,특성 2,침묵 지속시간 +1초,RuntimeImplemented,Shared status duration bonus extends Vega-B Silence by 1 second.,,,,,,,,,silence,1,,,,vega-b,,
vega-g-trait-3,vega,vega-g,,PassiveEnhancement,2,특성 3,침묵 대상이 이름표식을 보유하면 모든 아군 치명타 확률 +10%,RuntimeImplemented,Implemented by Vega-G passive enemy crit-resistance debuff on Silence AND Name Mark targets.,,,,,,,,,,,,,,,,
vega-h-trait-1,vega,vega-h,,PassiveEnhancement,0,특성 1,몰살 허가 중 모든 아군의 행동속도 +6%,RuntimeImplemented,Implemented by Vega-H source-status-gated aura row adding ally action speed +6% during slaughter-permit.,,,,,,,,,,,,,,,,
vega-h-trait-2,vega,vega-h,,PassiveEnhancement,1,특성 2,몰살 허가 중 모든 아군의 공격력 +8%,RuntimeImplemented,Implemented by Vega-H source-status-gated aura row adding ally attack power +8% during slaughter-permit.,,,,,,,,,,,,,,,,
vega-h-trait-3,vega,vega-h,,PassiveEnhancement,2,특성 3,몰살 허가 중 모든 아군이 이름표식 대상에게 주는 피해 +10%,RuntimeImplemented,Implemented by Vega-H source-status-gated enemy debuff row adding +10% damage taken on Name Mark targets during slaughter-permit.,1.1,,,,,,,,,,,,,,,
vega-i-trait-1,vega,vega-i,,PassiveEnhancement,0,특성 1,모든 아군 범위 피해 증가량 +7%,RuntimeImplemented,Implemented by additional Vega-D triggered debuff row adding +7% incoming area damage for the same post-hit effect window.,,,,,,,,,,,,,,,,
vega-i-trait-2,vega,vega-i,,PassiveEnhancement,1,특성 2,효과 지속시간 +2초,RuntimeImplemented,Implemented by Vega-I alternate triggered debuff row extending the Vega-D area-vulnerability duration from 4s to 6s.,,,,,,,,,,,,,,,,
vega-i-trait-3,vega,vega-i,,PassiveEnhancement,2,특성 3,이름표식 10스택 이상 대상은 모든 아군 범위 피해를 추가로 +10% 받음,RuntimeImplemented,Implemented by additional Vega-D triggered debuff row adding +10% incoming area damage on Name Mark 10+ targets during the same post-hit effect window.,,,,,,,,,,,,,,,,
vega-j-trait-1,vega,vega-j,,PassiveEnhancement,0,특성 1,최종선고 처치 시 모든 아군 쿨타임 충전 +10%,RuntimeImplemented,Implemented by Vega-J all-allies cooldown refund kill trigger adding +10% extra refund.,,,,,,,,,,,,,,,,
vega-j-trait-2,vega,vega-j,,PassiveEnhancement,1,특성 2,최종선고 대상이 생존할 때 모든 아군 피해 증가량 +5%,RuntimeImplemented,Implemented by Vega-J alternate survive-target debuff row increasing the post-hit damage taken bonus from 10% to 15%.,,,,,,,,,,,,,,,,
vega-j-trait-3,vega,vega-j,,PassiveEnhancement,2,특성 3,최종선고로 적을 처치하면 검은 명부 개방 쿨타임 20% 감소,RuntimeImplemented,Implemented by Vega-J cooldown refund kill trigger reducing Vega-D cooldown by 20% on Vega-E kills.,,,,,,,,,,,,,,,,
eve-f-trait-1,eve,eve-f,,PassiveEnhancement,0,특성 1,보호막 수치 +40%,RuntimeImplemented,Passive effect rows add an extra combat-start shield equal to 40% of the base passive shield.,,,,,,,,,,,,,,,,
eve-f-trait-2,eve,eve-f,,PassiveEnhancement,1,특성 2,모든 아군이 감전 대상에게 주는 피해 +6%,RuntimeImplemented,Passive effect rows add +6% damage taken on shocked targets.,1.06,,,,,,,,,,,,,,,
eve-f-trait-3,eve,eve-f,,PassiveEnhancement,2,특성 3,보호막이 유지되는 동안 대상의 행동속도 +12%,RuntimeImplemented,Passive effect rows grant shielded allies action speed +12% while the passive is learned.,,,,,,,,,,,,,,,,
eve-g-trait-1,eve,eve-g,,PassiveEnhancement,0,특성 1,프리즘 레이 자동 발동 확률 +3%,RuntimeImplemented,Passive trigger rows replace the base auto Prism Ray proc chance with 7% while preserving the 1.5 second internal cooldown.,,,,,,,,,,,,,,,,
eve-g-trait-2,eve,eve-g,,PassiveEnhancement,1,특성 2,모든 아군의 번개/얼음 피해 +5%,RuntimeImplemented,Passive effect rows add +5% Lightning and Ice damage while the passive is learned.,1.05,,,,,,,,,,,,,,,
eve-g-trait-3,eve,eve-g,eve-b,PassiveEnhancement,2,특성 3,프리즘 레이가 보호막 대상에게 300% 추가 피해,RuntimeImplemented,Eve-B snapshot conditional damage multiplier x4 now applies against shielded targets.,,,,,,,,,,,4,shield,1,,,
eve-h-trait-1,eve,eve-h,,PassiveEnhancement,0,특성 1,모든 아군이 추위/빙결 대상에게 주는 피해 +6%,RuntimeImplemented,Passive effect rows add +6% damage taken on chill or freeze targets.,1.06,,,,,,,,,,,,,,,
eve-h-trait-2,eve,eve-h,,PassiveEnhancement,1,특성 2,빙결 지속시간 +1.0초,RuntimeImplemented,Passive effect rows extend applied Freeze duration by 1 second.,,,,,,,,,,,,,,,,
eve-h-trait-3,eve,eve-h,,PassiveEnhancement,2,특성 3,빙결 해제 시 `16 + 주문력 * 1.0` 얼음 피해,RuntimeImplemented,Passive trigger row deals an Ice burst when Freeze expires.,,,,,,,,,,,,,,,,
eve-i-trait-1,eve,eve-i,,PassiveEnhancement,0,특성 1,모든 아군이 감전 대상에게 주는 번개 피해 +8%,RuntimeImplemented,Passive effect rows add +8% Lightning damage taken on shocked targets.,1.08,,,,,,,,,,,,,,,
eve-i-trait-2,eve,eve-i,,PassiveEnhancement,1,특성 2,감전 5스택 대상의 번개 저항 추가 -6,RuntimeImplemented,Passive effect rows add an extra -6 flat Lightning resistance on shock 5-stack targets.,,,,,,,shock,5,,,,,,,,
eve-i-trait-3,eve,eve-i,eve-d,PassiveEnhancement,2,특성 3,스태틱 오버라이드 폭발 반경 +25%,RuntimeImplemented,Shared SingleAttack radius multiplier path now targets Eve-D directly.,,,,1.25,,,,,,,,,,,,
eve-j-trait-1,eve,eve-j,,PassiveEnhancement,0,특성 1,모든 아군이 취약 대상에게 주는 피해 +6%,RuntimeImplemented,Passive effect rows add +6% damage taken on vulnerable targets.,1.06,,,,,,,,,,,,,,,
eve-j-trait-2,eve,eve-j,,PassiveEnhancement,1,특성 2,취약 대상의 모든 저항 추가 -4,RuntimeImplemented,Passive effect rows add an extra -4 flat resistance to all attributes on vulnerable targets.,,,,,,,,,,,,,,,,
eve-j-trait-3,eve,eve-j,eve-e,PassiveEnhancement,2,특성 3,플라즈마 필드가 취약 5스택 이상 대상에게 주는 피해 +75%,RuntimeImplemented,Shared AreaAttack conditional target-status damage path now targets Eve-E directly.,1.75,,,,,,vulnerable,5,,,,,,,,
vega-h-base-duration,vega,vega-h,,PassiveBase,0,기본 효과,몰살 허가 지속시간 +20%,RuntimeImplemented,Shared passive base modifier extends Vega-C slaughter-permit duration by 20% while Vega-H is learned.,,,,,1.2,,,,,,,,,vega-c,,
